ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,weekly,weekly_lower,weekly_upper,additive_terms,additive_terms_lower,additive_terms_upper,yhat
2018-06-28,30663.497925207368,21218.06174339778,43131.58389955853,30663.497925207368,30663.497925207368,0.04453774200017101,0.04453774200017101,0.04453774200017101,0.04453774200017101,0.04453774200017101,0.04453774200017101,0.0,0.0,0.0,32029.18088462303
2018-06-29,30626.11422555424,19608.97467489028,40871.19011442266,30626.11422555424,30626.11422555424,-0.0003731179271981508,-0.0003731179271981508,-0.0003731179271981508,-0.0003731179271981508,-0.0003731179271981508,-0.0003731179271981508,0.0,0.0,0.0,30614.687073296267
2018-06-30,30588.730525901115,12147.157159060182,34155.23038579647,30588.730525901115,30588.730525901115,-0.23303584470473113,-0.23303584470473113,-0.23303584470473113,-0.23303584470473113,-0.23303584470473113,-0.23303584470473113,0.0,0.0,0.0,23460.459869352355
2018-07-01,30551.34682624799,14762.607546686286,36012.63512268368,30551.34682624799,30551.34682624799,-0.17755391823181604,-0.17755391823181604,-0.17755391823181604,-0.17755391823181604,-0.17755391823181604,-0.17755391823181604,0.0,0.0,0.0,25126.835489988505
2018-07-02,30513.96312659486,23956.916492305547,46118.91041356356,30513.96312659486,30513.96312659486,0.15265245038887792,0.15265245038887792,0.15265245038887792,0.15265245038887792,0.15265245038887792,0.15265245038887792,0.0,0.0,0.0,35171.99436894543
2018-07-03,30476.579426941735,23355.523138440647,44889.16770249085,30476.579426941735,30476.579426941735,0.11511043114989486,0.11511043114989486,0.11511043114989486,0.11511043114989486,0.11511043114989486,0.11511043114989486,0.0,0.0,0.0,33984.751624751014
2018-07-04,30439.195727288607,22725.002463432815,44283.85661152124,30439.195727288607,30439.195727288607,0.0986622573243777,0.0986622573243777,0.0986622573243777,0.0986622573243777,0.0986622573243777,0.0986622573243777,0.0,0.0,0.0,33442.39548888145
2018-07-05,30401.812027635482,21241.73997888057,42116.852851464246,30401.812027635482,30401.812027635482,0.0445377420001933,0.0445377420001933,0.0445377420001933,0.0445377420001933,0.0445377420001933,0.0445377420001933,0.0,0.0,0.0,31755.840088060686
2018-07-06,30364.428327982358,19962.52399303493,40139.43056577624,30364.428327982358,30364.428327982358,-0.0003731179271427229,-0.0003731179271427229,-0.0003731179271427229,-0.0003731179271427229,-0.0003731179271427229,-0.0003731179271427229,0.0,0.0,0.0,30353.09881542575
2018-07-07,30327.04462832923,12704.885540690912,34094.42888204273,30327.04462832923,30327.04462832923,-0.233035844704755,-0.233035844704755,-0.233035844704755,-0.233035844704755,-0.233035844704755,-0.233035844704755,0.0,0.0,0.0,23259.756165967723
2018-07-08,30289.6609286761,13772.36787489546,35892.49410601057,30289.6609286761,30289.6609286761,-0.17755391823141795,-0.17755391823141795,-0.17755391823141795,-0.17755391823141795,-0.17755391823141795,-0.17755391823141795,0.0,0.0,0.0,24911.61294888857
2018-07-09,30252.27722902298,25035.78295544291,45012.44198020832,30252.27722902298,30252.27722902298,0.15265245038906786,0.15265245038906786,0.15265245038906786,0.15265245038906786,0.15265245038906786,0.15265245038906786,0.0,0.0,0.0,34870.36147788274
2018-07-10,30214.89352936985,23184.401775770708,44272.64012951648,30214.89352936985,30214.89352936985,0.11511043114994682,0.11511043114994682,0.11511043114994682,0.11511043114994682,0.11511043114994682,0.11511043114994682,0.0,0.0,0.0,33692.942950685356
2018-07-11,30177.509829716724,22399.169668107086,44318.95288811291,30177.509829716724,30177.509829716724,0.0986622573244858,0.0986622573244858,0.0986622573244858,0.0986622573244858,0.0986622573244858,0.0986622573244858,0.0,0.0,0.0,33154.89106994843
2018-07-12,30140.126130063596,21108.826532335133,41949.65550143303,30140.126130063596,30140.126130063596,0.04453774200005676,0.04453774200005676,0.04453774200005676,0.04453774200005676,0.04453774200005676,0.04453774200005676,0.0,0.0,0.0,31482.49929149354
2018-07-13,30102.74243041047,19397.15414605248,40223.86857066769,30102.74243041047,30102.74243041047,-0.00037311792736192603,-0.00037311792736192603,-0.00037311792736192603,-0.00037311792736192603,-0.00037311792736192603,-0.00037311792736192603,0.0,0.0,0.0,30091.510557546928
2018-07-14,30065.358730757347,12344.97093075794,33504.259381995784,30065.358730757347,30065.358730757347,-0.2330358447050811,-0.2330358447050811,-0.2330358447050811,-0.2330358447050811,-0.2330358447050811,-0.2330358447050811,0.0,0.0,0.0,23059.052462574025
2018-07-15,30027.97503110422,12744.738175038148,35191.72842085893,30027.97503110422,30027.97503110422,-0.17755391823181194,-0.17755391823181194,-0.17755391823181194,-0.17755391823181194,-0.17755391823181194,-0.17755391823181194,0.0,0.0,0.0,24696.390407764648
2018-07-16,29990.59133145109,24008.512821348246,44959.78558620749,29990.59133145109,29990.59133145109,0.15265245038885017,0.15265245038885017,0.15265245038885017,0.15265245038885017,0.15265245038885017,0.15265245038885017,0.0,0.0,0.0,34568.72858680771
2018-07-17,29953.207631797966,23190.95163547341,44312.988764411195,29953.207631797966,29953.207631797966,0.11511043114992167,0.11511043114992167,0.11511043114992167,0.11511043114992167,0.11511043114992167,0.11511043114992167,0.0,0.0,0.0,33401.134276617355
2018-07-18,29915.82393214484,22477.14042784705,43130.35849072507,29915.82393214484,29915.82393214484,0.09866225732444162,0.09866225732444162,0.09866225732444162,0.09866225732444162,0.09866225732444162,0.09866225732444162,0.0,0.0,0.0,32867.3866510108
2018-07-19,29878.440232491714,20662.490675186706,42205.70597421338,29878.440232491714,29878.440232491714,0.04453774199992021,0.04453774199992021,0.04453774199992021,0.04453774199992021,0.04453774199992021,0.04453774199992021,0.0,0.0,0.0,31209.158494926465
2018-07-20,29841.056532838586,19441.791247456975,39816.634739788606,29841.056532838586,29841.056532838586,-0.00037311792758116386,-0.00037311792758116386,-0.00037311792758116386,-0.00037311792758116386,-0.00037311792758116386,-0.00037311792758116386,0.0,0.0,0.0,29829.92229966822
2018-07-21,29803.67283318546,12240.456745636195,33992.38251886466,29803.67283318546,29803.67283318546,-0.23303584470399022,-0.23303584470399022,-0.23303584470399022,-0.23303584470399022,-0.23303584470399022,-0.23303584470399022,0.0,0.0,0.0,22858.34875922272
2018-07-22,29766.289133532337,13876.019747942537,35524.224964461,29766.289133532337,29766.289133532337,-0.17755391823168373,-0.17755391823168373,-0.17755391823168373,-0.17755391823168373,-0.17755391823168373,-0.17755391823168373,0.0,0.0,0.0,24481.16786665648
2018-07-23,29728.90543387921,23433.02437334416,44440.256524906945,29728.90543387921,29728.90543387921,0.152652450388856,0.152652450388856,0.152652450388856,0.152652450388856,0.152652450388856,0.152652450388856,0.0,0.0,0.0,34267.095695739445
2018-07-24,29691.52173422608,22657.944052917952,43691.45986611134,29691.52173422608,29691.52173422608,0.1151104311498346,0.1151104311498346,0.1151104311498346,0.1151104311498346,0.1151104311498346,0.1151104311498346,0.0,0.0,0.0,33109.32560254753
2018-07-25,29654.138034572956,21362.278583764688,43576.69407575436,29654.138034572956,29654.138034572956,0.09866225732447004,0.09866225732447004,0.09866225732447004,0.09866225732447004,0.09866225732447004,0.09866225732447004,0.0,0.0,0.0,32579.882232075346
2018-07-26,29616.754334919828,20255.992653745594,41584.612092589385,29616.754334919828,29616.754334919828,0.044537741999942496,0.044537741999942496,0.044537741999942496,0.044537741999942496,0.044537741999942496,0.044537741999942496,0.0,0.0,0.0,30935.817698364164
2018-07-27,29579.370635266703,18446.43188750234,41063.19427250196,29579.370635266703,29579.370635266703,-0.0003731179273688927,-0.0003731179273688927,-0.0003731179273688927,-0.0003731179273688927,-0.0003731179273688927,-0.0003731179273688927,0.0,0.0,0.0,29568.334041802394
2018-07-28,29541.986935613575,12864.67689753414,32656.17969705305,29541.986935613575,29541.986935613575,-0.23303584470431626,-0.23303584470431626,-0.23303584470431626,-0.23303584470431626,-0.23303584470431626,-0.23303584470431626,0.0,0.0,0.0,22657.64505582899
2018-07-29,29504.603235960447,13650.707040068193,34739.40093533132,29504.603235960447,29504.603235960447,-0.17755391823155556,-0.17755391823155556,-0.17755391823155556,-0.17755391823155556,-0.17755391823155556,-0.17755391823155556,0.0,0.0,0.0,24265.945325548237
